username,title,business_size,validated_user,verified_current_user,review_source,date,rating,review_title,like_best,dislike,benefits
Verified User in Publishing,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-19,5.0,"""My favorite affiliate network""","It's easy to create custom tracking links with unique ids for any of the brands I partner with. Payments process promptly with no delay (you get paid as soon as you meet the threshold you specify, rather than waiting for a specific date each month). I also appreciate that there's a robust marketplace, and I've been able to negotiate custom and increased commission rates based on performance with several brands. Reporting is easy to understand - you can always get the data you want to help identify opportunities for improved performance. Review collected by and hosted on G2.com.","It's easy to create custom tracking links with unique ids for any of the brands I partner with. Payments process promptly with no delay (you get paid as soon as you meet the threshold you specify, rather than waiting for a specific date each month). I also appreciate that there's a robust marketplace, and I've been able to negotiate custom and increased commission rates based on performance with several brands. Reporting is easy to understand - you can always get the data you want to help identify opportunities for improved performance. Review collected by and hosted on G2.com.",
World Money M.,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""Impact is Super easy and flexible to use""",I love the fact that i can easily create custom links with each affilate program and also track each link performance.,I love the fact that i can easily create custom links with each affilate program and also track each link performance.,
Verified User in Internet,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""Very user friendly and easy to manage""",It is very user-friendly. I love how you can just copy a URL and get a tracking link so easily. All the tabs are marked clearly and it is easy to find the information you are looking for. Review collected by and hosted on G2.com.,It is very user-friendly. I love how you can just copy a URL and get a tracking link so easily. All the tabs are marked clearly and it is easy to find the information you are looking for. Review collected by and hosted on G2.com.,
Erin R.,Digital Media Coordinator,Enterprise (>1000 emp.),No,No,In-app,2023-05-17,5.0,"""The best affiliate and influencer platform out there.""","The platform can initially feel a bit clunky, but we have learned to love it! The SaaS option is easy to use and moderately priced compared to others. We can easily add partners, create a public listing and track payments. WAY better than invoicing everyone ourselves. Review collected by and hosted on G2.com.","The platform can initially feel a bit clunky, but we have learned to love it! The SaaS option is easy to use and moderately priced compared to others. We can easily add partners, create a public listing and track payments. WAY better than invoicing everyone ourselves. Review collected by and hosted on G2.com.",
Verified User in Graphic Design,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""My Favorite Affiliate Network""","My experience with affiliate marketing exceeds 10 years, and I always missed a network that would be clear and bring together the most modern and respected brands. Impact solves this problem. Review collected by and hosted on G2.com.","My experience with affiliate marketing exceeds 10 years, and I always missed a network that would be clear and bring together the most modern and respected brands. Impact solves this problem. Review collected by and hosted on G2.com.",
Fahim S.,Managing Director,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,4.5,"""The best partnership platform""","The thing I most like about Impact.com is it is very straightforward to use. It's easy to submit the tax form, find new brands, create affiliate links, add Sub-ids and get paid. And their customer support is beneficial. Review collected by and hosted on G2.com.","The thing I most like about Impact.com is it is very straightforward to use. It's easy to submit the tax form, find new brands, create affiliate links, add Sub-ids and get paid. And their customer support is beneficial. Review collected by and hosted on G2.com.",
Varun K.,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""Its amazing platform to work with. Very Professional.""",There are many brands on this platform related to different niches. We can choose multiple brands related to our niche. And the Payments will be made on time. And it is easy to track the progress on the Dashboard. Review collected by and hosted on G2.com.,There are many brands on this platform related to different niches. We can choose multiple brands related to our niche. And the Payments will be made on time. And it is easy to track the progress on the Dashboard. Review collected by and hosted on G2.com.,
Verified User in Internet,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-20,5.0,"""The impact affiliate program is clea and highly responsive""","The platform is clean, simple, fast to load things and overall professional. It makes it easy to discover advertisers and send applications. All the features needed to advertise also work without any troubles. Review collected by and hosted on G2.com.","The platform is clean, simple, fast to load things and overall professional. It makes it easy to discover advertisers and send applications. All the features needed to advertise also work without any troubles. Review collected by and hosted on G2.com.",
"Verified User in Health, Wellness and Fitness",,Mid-Market (51-1000 emp.),No,No,Organic,2022-11-02,1.0,"""Not suitable for international businesses with a central HQ""","The interface is good, reporting is simple and easy to use and schedule reports to share with the business. Review collected by and hosted on G2.com.","The interface is good, reporting is simple and easy to use and schedule reports to share with the business. Review collected by and hosted on G2.com.",
Maria H.,Partnership / Affiliate development Manager,Mid-Market (51-1000 emp.),No,No,G2 invite,2022-07-28,4.5,"""It's a good platform but incomplete.""","It makes working with affiliates and partners a lot easier. Contracts, deals and materials are all in one place ready to go for any affiliate to review and use when promoting your brand. Sometime communication may not be necessary to get a collaboration going. Review collected by and hosted on G2.com.","It makes working with affiliates and partners a lot easier. Contracts, deals and materials are all in one place ready to go for any affiliate to review and use when promoting your brand. Sometime communication may not be necessary to get a collaboration going. Review collected by and hosted on G2.com.",
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,4.0,"""Support is quite good!""","Chat and support function, training tools, Review collected by and hosted on G2.com.","Chat and support function, training tools, Review collected by and hosted on G2.com.",
"Verified User in Leisure, Travel & Tourism",,Mid-Market (51-1000 emp.),No,No,In-app,2022-11-16,5.0,"""If I can learn it anyone can!""","The interface is very user-friendly. Easy to navigate, learn and manage multiple partners. The system makes working across three brands seamless and easier to process all payments. Review collected by and hosted on G2.com.","The interface is very user-friendly. Easy to navigate, learn and manage multiple partners. The system makes working across three brands seamless and easier to process all payments. Review collected by and hosted on G2.com.",
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""User-friendly platform with many interesting brands.""","Impact offers an user-friendly platform and it's really easy to manage partners, get in touch with partners and find new brands to promote. The payments are always on time and support is very fast, and on-time.","Impact offers an user-friendly platform and it's really easy to manage partners, get in touch with partners and find new brands to promote. The payments are always on time and support is very fast, and on-time.",
Boris S.,Levelnaut and LEEnjoy founder,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""The Most Effective and Easy Navigation CPA Platform""",Impact.com is one of the best CPA networks among those 400 mentioned in the list of Levelnaut.com. This platform is straightforward to navigate and use. Reviews are the most demanded and understandable. Review collected by and hosted on G2.com.,Impact.com is one of the best CPA networks among those 400 mentioned in the list of Levelnaut.com. This platform is straightforward to navigate and use. Reviews are the most demanded and understandable. Review collected by and hosted on G2.com.,
Verified User in Apparel & Fashion,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""Fast and simple work with Ipact""",Impact's interface and way of working are fast and simple.,Impact's interface and way of working are fast and simple.,
AceUmer Y.,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Best Affiliate Platform to promote your brands""",I like the most:,I like the most:,
Dee B.,COO - Co-Founder,Small Business (50 or fewer emp.),No,No,In-app,2022-11-18,5.0,"""The most reputable source for affiliate programs""","As I was searching for affiliate programs to join, I noticed many of my favorite brands were here on Impact.com. It's hand down my favorite network to use and the most professional. Review collected by and hosted on G2.com.","As I was searching for affiliate programs to join, I noticed many of my favorite brands were here on Impact.com. It's hand down my favorite network to use and the most professional. Review collected by and hosted on G2.com.",
Verified User in Arts and Crafts,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-18,3.5,"""Its good for affiliate marketing""","I like that impact gave us as  marketers, many options to market and gain commissions.","I like that impact gave us as  marketers, many options to market and gain commissions.",
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-20,5.0,"""Impact is one of the best marketing publisher and influencer to work today.""",They help you how to become a good publisher of their products by training you through PXA site. I have a certificate after each course.I love the PXA training leader board. Review collected by and hosted on G2.com.,They help you how to become a good publisher of their products by training you through PXA site. I have a certificate after each course.I love the PXA training leader board. Review collected by and hosted on G2.com.,
Evans N.,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Impact Radius has a very good pool linking affiliates with the best companies globaly""",The fact that you get a variety of companies that you can choose from to promote their products. The platform is also user friendly and you can generate targeted links as landing pages. Review collected by and hosted on G2.com.,The fact that you get a variety of companies that you can choose from to promote their products. The platform is also user friendly and you can generate targeted links as landing pages. Review collected by and hosted on G2.com.,
msd m.,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-18,5.0,"""Overall Amazing Experience""",What I like the most about Impact Radius is that the dashboard is quite modern and elegant. Most affiliate dashboards look boring and dull. Review collected by and hosted on G2.com.,What I like the most about Impact Radius is that the dashboard is quite modern and elegant. Most affiliate dashboards look boring and dull. Review collected by and hosted on G2.com.,
Rashed M.,An affiliate marketer at Impact!,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Impact Is My first Affiliate Marketplace""",The dashboard is very nice. Creating link here is very easy. Impact's tracking is very nice. I can see every tracking metrics here! Review collected by and hosted on G2.com.,The dashboard is very nice. Creating link here is very easy. Impact's tracking is very nice. I can see every tracking metrics here! Review collected by and hosted on G2.com.,
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2024-05-22,5.0,"""Amazing system for affiliates and partnerships""","Great UX, easy to navigate, and quickly find everything that  I need.","Great UX, easy to navigate, and quickly find everything that  I need.",
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-12,5.0,"""The Brands I Want To Work With Are Here!""",Easy to apply to various brands and to generate affiliate links. Review collected by and hosted on G2.com.,"Wish I had email notifications of orders as soon as they are made on impact. Maybe the option is present and I just didn't find it yet, but I feel it should be enabled by default. Review collected by and hosted on G2.com.",
Verified User in Internet,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-15,5.0,"""Simple, Comprehensive and it pays: Love it""",Tons of products and companies to choose from Review collected by and hosted on G2.com.,Tons of products and companies to choose from Review collected by and hosted on G2.com.,
Everton's W.,Content Creator,Small Business (50 or fewer emp.),No,No,In-app,2023-05-31,5.0,"""A lot of Partnerships with a Great Platform""",Impact has a great platform that allows easy reporting that is easy to understand and presents you with a ton of options to get details about the income earned and when to expect payments. Review collected by and hosted on G2.com.,Impact has a great platform that allows easy reporting that is easy to understand and presents you with a ton of options to get details about the income earned and when to expect payments. Review collected by and hosted on G2.com.,
Verified User in Entertainment,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-27,3.5,"""Payment Method""",The display page is alright and the visibility and transparency is good Review collected by and hosted on G2.com.,The display page is alright and the visibility and transparency is good Review collected by and hosted on G2.com.,
Verified User in Construction,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-19,2.0,"""Cannot Figure Out Why My Application Was Denied.""",You partner with awesome brands. Your platform seems to work. Review collected by and hosted on G2.com.,You partner with awesome brands. Your platform seems to work. Review collected by and hosted on G2.com.,
"Verified User in Health, Wellness and Fitness",,Small Business (50 or fewer emp.),No,No,In-app,2023-12-16,5.0,"""Great technology and reporting""",I have used many other networks. Impact reporting capabilities is by far the most advanced. Review collected by and hosted on G2.com.,I have used many other networks. Impact reporting capabilities is by far the most advanced. Review collected by and hosted on G2.com.,
Verified User in Consulting,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-15,5.0,"""Very good""",It's reliable. APP is good just need some more function. Review collected by and hosted on G2.com.,It's reliable. APP is good just need some more function. Review collected by and hosted on G2.com.,
Verified User in Wireless,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-13,5.0,"""Amazing platform, super easy to use!""","Easy to use dashboard, great way to find brands Review collected by and hosted on G2.com.","Easy to use dashboard, great way to find brands Review collected by and hosted on G2.com.",
Verified User in Entertainment,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-21,5.0,"""It's a nice place to be if your looking for something right""",It helps people to grow a bigger society and I love that . Review collected by and hosted on G2.com.,It helps people to grow a bigger society and I love that . Review collected by and hosted on G2.com.,
Martin M.,Software Engineeer,Small Business (50 or fewer emp.),No,No,Organic,2022-10-02,0.0,"""Review by a brand owner - stay away from Impact at all costs""","Customer support is responsive, and we have also received an account manager. However, none of this helped. Review collected by and hosted on G2.com.","Customer support is responsive, and we have also received an account manager. However, none of this helped. Review collected by and hosted on G2.com.",
Andrea C.,Partnership Manager,Small Business (50 or fewer emp.),No,No,Organic,2022-11-16,4.0,"""Favorite Affiliate Network""",We chose Impact as our affiliate network because of its superior reporting capabilities and the versatility and flexibility it offers in terms of tracking and attribution. Impact is also able to support pretty much any size of advertiser and smaller merchants can scale their programs effectively.  Review collected by and hosted on G2.com.,We chose Impact as our affiliate network because of its superior reporting capabilities and the versatility and flexibility it offers in terms of tracking and attribution. Impact is also able to support pretty much any size of advertiser and smaller merchants can scale their programs effectively.  Review collected by and hosted on G2.com.,
Verified User in Marketing and Advertising,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-21,4.0,"""impact""",I like the best about impact is User friendly. Review collected by and hosted on G2.com.,I like the best about impact is User friendly. Review collected by and hosted on G2.com.,
Bhabishya B.,Content Writer,Small Business (50 or fewer emp.),No,No,G2 invite,2022-11-14,4.0,"""One of the best affiliate network""","Everything about Impact.com is fantastic. They have many affiliate programs on their platform from big brands, and I love it the best. They have multiple payment methods, and I like that too. Review collected by and hosted on G2.com.","Everything about Impact.com is fantastic. They have many affiliate programs on their platform from big brands, and I love it the best. They have multiple payment methods, and I like that too. Review collected by and hosted on G2.com.",
Verified User in Accounting,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-13,5.0,"""Blog""","yes, thank for a give me a chance development finance my family Review collected by and hosted on G2.com.","yes, thank for a give me a chance development finance my family Review collected by and hosted on G2.com.",
Verified User in Online Media,,Small Business (50 or fewer emp.),No,No,In-app,2023-12-12,4.0,"""I like impact""",payment processing is easy. diverse advertiser portfolio Review collected by and hosted on G2.com.,payment processing is easy. diverse advertiser portfolio Review collected by and hosted on G2.com.,
Muhammad Mizanur R.,Executive Information Technology and Services,Small Business (50 or fewer emp.),No,No,Organic Review from User Profile,2022-10-21,5.0,"""Review of impact.com""","It finishes the work and tracks. Indeed, it's a smidgen more costly than a portion of the others however on the off chance that you use it right, it's as yet worth the effort. Additionally, I like Effect's environment where it can associate with its different items and get more understanding. Particularly when it's to do with powerhouses (Actuate) and tracking down different brands to expound on you (Mediarails). Review collected by and hosted on G2.com.","It finishes the work and tracks. Indeed, it's a smidgen more costly than a portion of the others however on the off chance that you use it right, it's as yet worth the effort. Additionally, I like Effect's environment where it can associate with its different items and get more understanding. Particularly when it's to do with powerhouses (Actuate) and tracking down different brands to expound on you (Mediarails). Review collected by and hosted on G2.com.",
Verified User in Writing and Editing,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-20,5.0,"""Wide selection of vendors""",I like impact.com because I can connect with various vendors that offer a variety of advertising opportunites. I like that the links are easy to create and share via various forms of content. From blog posts to social media shares. Overall the site fits my needs for my blog. I love the ability to have text or short code links as well as image links. Review collected by and hosted on G2.com.,I like impact.com because I can connect with various vendors that offer a variety of advertising opportunites. I like that the links are easy to create and share via various forms of content. From blog posts to social media shares. Overall the site fits my needs for my blog. I love the ability to have text or short code links as well as image links. Review collected by and hosted on G2.com.,
Kelly S.,Senior Director of Marketing,Mid-Market (51-1000 emp.),No,No,In-app,2022-11-18,5.0,"""Technology meets affiliate marketing""",The Impact platform relies heavily on premiere analytics and the ability to customize partnerships at a very granular level. You can essentially set up partnerships using rules and conditions that are unique to each partner.  It is extremely flexible. Review collected by and hosted on G2.com.,The Impact platform relies heavily on premiere analytics and the ability to customize partnerships at a very granular level. You can essentially set up partnerships using rules and conditions that are unique to each partner.  It is extremely flexible. Review collected by and hosted on G2.com.,
Anastasia F.,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-19,5.0,"""Tracking solution with most granular insights""",-I love,-I love,
"Verified User in Leisure, Travel & Tourism",,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""One of the best Partner Networks out there""",I have known and worked with Impact for years and honestly it is one of the top partner networks out there. Very easy to use and if someone gets stuck the information provided and the ease of solving problems is the best anywhere. Review collected by and hosted on G2.com.,I have known and worked with Impact for years and honestly it is one of the top partner networks out there. Very easy to use and if someone gets stuck the information provided and the ease of solving problems is the best anywhere. Review collected by and hosted on G2.com.,
Verified User in Internet,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-20,5.0,"""One of the Best affiliate wesite on the Market.""",Any publisher looking to monetize their blogs would be a great fit. The size of the publisher probably doesn't matter. They have a wide selection of advertisers and publishers can sign up for free. Advertisers that are looking for great partners for their affiliate programs would be good fits. One of the benefits is that Impact really focuses on recruiting high-quality publishers. Review collected by and hosted on G2.com.,Any publisher looking to monetize their blogs would be a great fit. The size of the publisher probably doesn't matter. They have a wide selection of advertisers and publishers can sign up for free. Advertisers that are looking for great partners for their affiliate programs would be good fits. One of the benefits is that Impact really focuses on recruiting high-quality publishers. Review collected by and hosted on G2.com.,
Sadhan P.,Founder and CEO,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Best Affiliate Marketplace For Beginners""","I like the minimum payout feature, which is only $10. This is very helpful for beginners to start earning and get it into their pocket. Review collected by and hosted on G2.com.","I like the minimum payout feature, which is only $10. This is very helpful for beginners to start earning and get it into their pocket. Review collected by and hosted on G2.com.",
"Verified User in Leisure, Travel & Tourism",,Small Business (50 or fewer emp.),No,No,Organic,2022-12-08,1.5,"""Great when you start, but terrible when leaving""","Their tracking is great, perfect to keep track of your affiliate sales. Lots of stats, lots of options. Review collected by and hosted on G2.com.","Their tracking is great, perfect to keep track of your affiliate sales. Lots of stats, lots of options. Review collected by and hosted on G2.com.",
Mostofa K.,Digital Marketer,Small Business (50 or fewer emp.),No,No,In-app,2024-07-04,4.5,"""Impact is a paradise for affiliate marketer.""","The best part of Impact is as an affiliate marketer, you will find almost every type of products in almost every niche.","The best part of Impact is as an affiliate marketer, you will find almost every type of products in almost every niche.",
Verified User in Financial Services,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-17,5.0,"""The easiest affiliate network to use""","I am in a handul of different affiliate networks and I find Impact is the easiest of all of them to use and navigate.  Their navigation flow is very intuative, and you find everything you need with just a couple of clicks!  With other networks, i sometimes have to click 10-15 different places to get the info that I need (which takes forever)! Review collected by and hosted on G2.com.","I am in a handul of different affiliate networks and I find Impact is the easiest of all of them to use and navigate.  Their navigation flow is very intuative, and you find everything you need with just a couple of clicks!  With other networks, i sometimes have to click 10-15 different places to get the info that I need (which takes forever)! Review collected by and hosted on G2.com.",
Verified User in Information Technology and Services,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-16,5.0,"""Great Platform""","I like the fact that i can promote various affiliate offers on a single dashboard, it makes things easy for me. Review collected by and hosted on G2.com.","I don't fully understand the reporting. as an affiliate marketer, I wish it can be easier than it is now. I dont like the tax documentation. It is not easy getting tax information from the country am working from. Review collected by and hosted on G2.com.",
Mohamed S.,,Small Business (50 or fewer emp.),No,No,In-app,2022-11-19,5.0,"""Very useful platform for Affiliate Marketers""",I like the way that things Organized in impact.com,I like the way that things Organized in impact.com,
