username,title,business_size,validated_user,verified_current_user,review_source,date,rating,review_title,like_best,dislike,benefits
Sophie O.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-11-14,4.0,"""Decent Affiliate Platform, a bit clunky in places, but the biggest one out there""","AWIN has the biggest and most successful affiliates on the platform so you really need to work with AWIN to make your affiliate marketing activity a success.  We use AWIN everyday and it has been the backbone of our affiliate marketing campaign for well over a year now.  It has a number of useful features that we use, including the reporting. Review collected by and hosted on G2.com.","AWIN has the biggest and most successful affiliates on the platform so you really need to work with AWIN to make your affiliate marketing activity a success.  We use AWIN everyday and it has been the backbone of our affiliate marketing campaign for well over a year now.  It has a number of useful features that we use, including the reporting. Review collected by and hosted on G2.com.",
Johnathan D.,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2024-04-19,5.0,"""Great service and great people""",I love the focus on growth and the creativeness of the account managers. I always feel like I am on the same page and also informed throughout the process. Review collected by and hosted on G2.com.,I love the focus on growth and the creativeness of the account managers. I always feel like I am on the same page and also informed throughout the process. Review collected by and hosted on G2.com.,
Verified User in Internet,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-16,5.0,"""One of the best affiliate platforms on the market""","I have been using the Awin network for seven years. Although I'm connected to eight different networks, Awin is surely one of my favourites.","I have been using the Awin network for seven years. Although I'm connected to eight different networks, Awin is surely one of my favourites.",
Yogendra K.,Software Developer Marketing and Advertising,Small Business (50 or fewer emp.),No,No,G2 invite,2023-11-24,5.0,"""Affiliate network you can trust the most""",Awin is best platform to launch your merchants for US and MX regions and for other geo as well. There supprt team is so good and hyper active to rpovide you assitance around the clock. You can find almost all best affiliates in the world on Awin network. Review collected by and hosted on G2.com.,Awin is best platform to launch your merchants for US and MX regions and for other geo as well. There supprt team is so good and hyper active to rpovide you assitance around the clock. You can find almost all best affiliates in the world on Awin network. Review collected by and hosted on G2.com.,
"Verified User in Leisure, Travel & Tourism",,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-16,5.0,"""Great Advertising Portal""",All payments always punctual and very fast Review collected by and hosted on G2.com.,All payments always punctual and very fast Review collected by and hosted on G2.com.,
"Verified User in Health, Wellness and Fitness",,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-04-09,3.5,"""Easy to use but not for US only brands""",The set up was pretty seamless and we had one tracking issue and their team was on it testing and submitting feedback for any changes the team needed to make. Review collected by and hosted on G2.com.,The set up was pretty seamless and we had one tracking issue and their team was on it testing and submitting feedback for any changes the team needed to make. Review collected by and hosted on G2.com.,
Josh J.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-11-09,3.5,"""Solid platform""",The platform's tracking and tech is solid as is the access to publishers. They deal with payments expediantly and the commercials are reasonably palatable. Would always recommend them due to being established in the market. Review collected by and hosted on G2.com.,The platform's tracking and tech is solid as is the access to publishers. They deal with payments expediantly and the commercials are reasonably palatable. Would always recommend them due to being established in the market. Review collected by and hosted on G2.com.,
Ishan M.,Affiliate Network Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-18,5.0,"""One of the best affiliate network in United States""",,,
Verified User in Retail,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-07-16,4.5,"""Excellent network for all affiliate marketing needs.""",Support from top agency service & good technical conditions. Review collected by and hosted on G2.com.,Support from top agency service & good technical conditions. Review collected by and hosted on G2.com.,
Verified User in Retail,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2024-04-16,3.5,"""Good Analytics""","Easy to use and implement. Lots of analytics, Review collected by and hosted on G2.com.","Easy to use and implement. Lots of analytics, Review collected by and hosted on G2.com.",
Joel G.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-11-09,4.5,"""Highly competent Affiliate management platform""","The platform's allows for seamless management of our affiliate links and provides us with detailed, actionable insights to optimize our campaigns. With its vast network of publishers, we have been able to expand our reach and connect with a wider audience. The reliable tracking system ensures every click is accounted for, giving us peace of mind about the accuracy of our performance data. The support team at AWIN is generally responsive and helpful. Overall, AWIN has significantly contributed to our growth and is a cornerstone of our affiliate marketing efforts. Review collected by and hosted on G2.com.","The platform's allows for seamless management of our affiliate links and provides us with detailed, actionable insights to optimize our campaigns. With its vast network of publishers, we have been able to expand our reach and connect with a wider audience. The reliable tracking system ensures every click is accounted for, giving us peace of mind about the accuracy of our performance data. The support team at AWIN is generally responsive and helpful. Overall, AWIN has significantly contributed to our growth and is a cornerstone of our affiliate marketing efforts. Review collected by and hosted on G2.com.",
Liam W.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-04-11,5.0,"""On to AWINner""","Easy to create campaigns, discounts and promotions without any problems. Finding new publishers to collaborate with is a breeze. Review collected by and hosted on G2.com.","Easy to create campaigns, discounts and promotions without any problems. Finding new publishers to collaborate with is a breeze. Review collected by and hosted on G2.com.",
James W.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-21,4.5,"""Market-leading affiliate marketing platform""","Awi allows our business to easily and efficiently manage, recruit and optimise our affiliate partners. The platform has an extensive suite of reporting tools which allows us to easily review KPIs and create a strategy accordingly. Furthermore, the vast database of affiliate partners ensures our brand can be promoted through a wide range of sources. Review collected by and hosted on G2.com.","Awi allows our business to easily and efficiently manage, recruit and optimise our affiliate partners. The platform has an extensive suite of reporting tools which allows us to easily review KPIs and create a strategy accordingly. Furthermore, the vast database of affiliate partners ensures our brand can be promoted through a wide range of sources. Review collected by and hosted on G2.com.",
Ramiro V.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-18,5.0,"""Excelente servicio""","El sr Gabriel Diaz, Javier, Gonzalo Tello y otros más, me han ayudado y acompañado durante el proceso de alta y comienzo en Awin. Nuestro instituto de tecnología está generando ventas gracias a esta plataforma. El tablero es fácil de utilizar.","El sr Gabriel Diaz, Javier, Gonzalo Tello y otros más, me han ayudado y acompañado durante el proceso de alta y comienzo en Awin. Nuestro instituto de tecnología está generando ventas gracias a esta plataforma. El tablero es fácil de utilizar.",
Flavia Z.,Influencer Marketing Manager,Small Business (50 or fewer emp.),No,No,Organic,2023-07-12,4.0,"""Overall, Awin is very complete""","The database. Since Awin is very well known, several new publishers find our program through the platform. Also we can reach out to new publishers as well. The toolbox is overall my favourite tab - very intuitive. Didn't use the reporting as much, so not sure how thorough it is. Review collected by and hosted on G2.com.","The database. Since Awin is very well known, several new publishers find our program through the platform. Also we can reach out to new publishers as well. The toolbox is overall my favourite tab - very intuitive. Didn't use the reporting as much, so not sure how thorough it is. Review collected by and hosted on G2.com.",
Chrissie B.,Digital Marketing Coordinator,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-06,4.0,"""Great user interface however could be more simplified and accessible""",Huge network which is easy to use. Account managers are helpful and always try their best to support and improve the programme. Lots of reporting options which is great! Review collected by and hosted on G2.com.,There's multiple ways to access the same thing which can sometimes be confusing. Staff work 4 day weeks so sometimes things can be missed or take slightly longer. Review collected by and hosted on G2.com.,
Verified User in E-Learning,,Mid-Market (51-1000 emp.),No,No,Organic,2023-07-12,4.5,"""Significant growth in our affiliate business""",Our great account team has worked with us to grow our affiliate business. Review collected by and hosted on G2.com.,Our great account team has worked with us to grow our affiliate business. Review collected by and hosted on G2.com.,
Bronwyn F.,Affiliate marketing manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-12-06,5.0,"""A well rounded programme""",The abundance of publishers in the network suited our business's niche and how easy it is to communicate/reach out to those publishers. Review collected by and hosted on G2.com.,The abundance of publishers in the network suited our business's niche and how easy it is to communicate/reach out to those publishers. Review collected by and hosted on G2.com.,
Jamie C.,Customer Marketing Specialist,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-06,4.0,"""Awin Review 2022""",The account management team are lovely and the senior peirs of them teams are supper knowledgable. Reporting is easy Review collected by and hosted on G2.com.,The account management team are lovely and the senior peirs of them teams are supper knowledgable. Reporting is easy Review collected by and hosted on G2.com.,
Phoebe L.,Head of Affiliate Marketing,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2022-12-07,4.5,"""A great platform that is user friendly without compromising insights""",I like the commission flexibility and being able to tailor payouts based on a variety of factors in a few simple steps Review collected by and hosted on G2.com.,I like the commission flexibility and being able to tailor payouts based on a variety of factors in a few simple steps Review collected by and hosted on G2.com.,
Verified User in Retail,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-06,5.0,"""Perfect user experience""","the useability of the site with plenty of options for contacting publishers and a variety of reports. Also, being able to find publishers and contact them easily which makes it simple to find companies to work with. Review collected by and hosted on G2.com.","the useability of the site with plenty of options for contacting publishers and a variety of reports. Also, being able to find publishers and contact them easily which makes it simple to find companies to work with. Review collected by and hosted on G2.com.",
Marc F.,Digital Sales Coordinator,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-07,4.5,"""The perfect partner for our affiliate programme""","Fantastic, responsive support team and easy to use self-serve digital portal Review collected by and hosted on G2.com.","Fantastic, responsive support team and easy to use self-serve digital portal Review collected by and hosted on G2.com.",
Gary S.,Affiliate Marketing Specialist,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2022-12-05,5.0,"""An excellent network.""","Our account manger is very helpful, the team are proactive and communicative. Review collected by and hosted on G2.com.","Our account manger is very helpful, the team are proactive and communicative. Review collected by and hosted on G2.com.",
Verified User in Food Production,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-07,3.5,"""A great all-in-one platform""",Having the ability to manage all affiliates in once place is really easy. The ability to then segment for different offers and commission structures benefits our business greatly. Review collected by and hosted on G2.com.,Having the ability to manage all affiliates in once place is really easy. The ability to then segment for different offers and commission structures benefits our business greatly. Review collected by and hosted on G2.com.,
Osiris M.,Sustainability Marketing and Partnerships Lead,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-12-15,5.0,"""Wonderful management & support for partners!""","I love how easy it is to navigate Awin, manage my task, connect with creators, and communicate effectively and with ease. Review collected by and hosted on G2.com.","I love how easy it is to navigate Awin, manage my task, connect with creators, and communicate effectively and with ease. Review collected by and hosted on G2.com.",
Nic J.,Operations Director,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-12-05,4.5,"""Easy to use and setup""",Links directly to Wordpress via a plugin so really easy to set up and then use when customers buy via the affiliate links Review collected by and hosted on G2.com.,Links directly to Wordpress via a plugin so really easy to set up and then use when customers buy via the affiliate links Review collected by and hosted on G2.com.,
Doron H.,Senior Affiliate Executive,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-06,3.5,"""AWIN covers all aspects of a robust affiliate management platform""","Publisher discovery tools, User-friendly UI and ease of reporting Review collected by and hosted on G2.com.","Publisher discovery tools, User-friendly UI and ease of reporting Review collected by and hosted on G2.com.",
Marie S.,UK/ROI Performance and CRM Manager,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-05,5.0,"""great network to leverage affiliates performance""","Professional team, highlighting potential growth (tenancy opportunities, commissions models etc.) Review collected by and hosted on G2.com.","Professional team, highlighting potential growth (tenancy opportunities, commissions models etc.) Review collected by and hosted on G2.com.",
kerry p.,Ecommerce manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-12-07,4.5,"""Easy to use""",Easy to use. Good analytics and easy to work out which publishers work best for you Review collected by and hosted on G2.com.,Easy to use. Good analytics and easy to work out which publishers work best for you Review collected by and hosted on G2.com.,
Verified User in Retail,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-12-06,5.0,"""Easy to use affiliate platform""",Ease of navigation and speed to load. I run multiple daily reports for a number of brands on the platform and it takes only a few minutes. Their dashboards are easy to navigate and make sense. Review collected by and hosted on G2.com.,Ease of navigation and speed to load. I run multiple daily reports for a number of brands on the platform and it takes only a few minutes. Their dashboards are easy to navigate and make sense. Review collected by and hosted on G2.com.,
Neale M.,Affiliate Marketing Manager,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2022-12-05,3.5,"""Good as always!""","Reporting interface, friendly employees, open to tech suggestions Review collected by and hosted on G2.com.","Reporting interface, friendly employees, open to tech suggestions Review collected by and hosted on G2.com.",
"Verified User in Leisure, Travel & Tourism",,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-05,4.0,"""Efficient one-stop platform for Affiliate marketing""",All the various different reports that I can download to track performance and affiliates in my advertiser account. Review collected by and hosted on G2.com.,All the various different reports that I can download to track performance and affiliates in my advertiser account. Review collected by and hosted on G2.com.,
Ryan H.,DIGITAL MARKETING MANAGER,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-10-13,4.0,"""Easy to use""",The awin program is really easy to set up and out of the box allows you to quickly expand your portfolio and to increase additional revenue. Review collected by and hosted on G2.com.,The awin program is really easy to set up and out of the box allows you to quickly expand your portfolio and to increase additional revenue. Review collected by and hosted on G2.com.,
Michael C.,"Internet Marketer Leisure, Travel & Tourism",Small Business (50 or fewer emp.),No,No,G2 invite,2022-08-04,3.5,"""Huge Variety of Companies to work with across different countries""",There are numerous niches covered at Awin so whatever the topic of your website you are likely to find some good people to work with. Customer support is fast and genuinely helpful and informative. Linking methods are flexible with lots of datafeeds to choose from. Review collected by and hosted on G2.com.,There are numerous niches covered at Awin so whatever the topic of your website you are likely to find some good people to work with. Customer support is fast and genuinely helpful and informative. Linking methods are flexible with lots of datafeeds to choose from. Review collected by and hosted on G2.com.,
Hannah M.,Affiliate Marketing Manager,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-11-01,4.0,"""A reliable platform""","Popularity with affiliates, clear reporting, simple structure. Review collected by and hosted on G2.com.","Popularity with affiliates, clear reporting, simple structure. Review collected by and hosted on G2.com.",
Ellie D.,PPC and Affiliate Marketing,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2022-12-06,4.0,"""Great platform!""",I think AWIN is a really great platform and I think the reporting tool is really useful when comparing the data month by month. Review collected by and hosted on G2.com.,I think AWIN is a really great platform and I think the reporting tool is really useful when comparing the data month by month. Review collected by and hosted on G2.com.,
Eli H.,marketing manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-12-06,4.0,"""Simple, reliable and great account managers""","Simplicity - No frills, easy to use and very intuitive Review collected by and hosted on G2.com.","Simplicity - No frills, easy to use and very intuitive Review collected by and hosted on G2.com.",
Verified User in Utilities,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-12-19,3.5,"""Awin Platform - easy to use""",It's super easy to understand and use. Not much support or explanation is needed. The platform is self-explanatory Review collected by and hosted on G2.com.,It's super easy to understand and use. Not much support or explanation is needed. The platform is self-explanatory Review collected by and hosted on G2.com.,
Nikhil S.,Senior Business Analyst,Small Business (50 or fewer emp.),No,No,G2 invite,2022-08-19,4.5,"""Awin Affiliate program review""","The access to over 200,000 worldwide active affiliate databases makes it easier to get the product/service the brand exposure needed to reach the exact customers needed to make the products a success. Review collected by and hosted on G2.com.","The access to over 200,000 worldwide active affiliate databases makes it easier to get the product/service the brand exposure needed to reach the exact customers needed to make the products a success. Review collected by and hosted on G2.com.",
Guillaume L.,Traffic Manager,Small Business (50 or fewer emp.),No,No,G2 invite,2022-06-21,3.5,"""Can be a great acquisition tool if you have proper tracking""","You get access to a lot of editors, they all want to make more money and so do you so it's the perfect combination of demand and offer, of course you'll need a good margin to reach out a good potential Review collected by and hosted on G2.com.","You get access to a lot of editors, they all want to make more money and so do you so it's the perfect combination of demand and offer, of course you'll need a good margin to reach out a good potential Review collected by and hosted on G2.com.",
Nic G.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-18,4.5,"""A good way to increase reach""","Loads of flexibility to set offers, accept or decline each publisher and provide assets and copy for them to use. If you know what you're doing it feels like a very powerful way of extending your reach and only paying for converting customers. Review collected by and hosted on G2.com.","It takes a bit of time to get setup - you need a developer and some space in your backlog. You also need to monitor it a fair but to get you up and running. We've seen only 1 customer referred so far, but hope for more soon. Review collected by and hosted on G2.com.",
Zac B.,Senior Affiliate Program Manager,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2023-07-19,4.5,"""Quality Network and Account Management""","Awin has a strong network of publishers that allows Vivint to access incremental partnerships. Their tracking mechanisms have been reliable, and I've been impressed with their account management. Review collected by and hosted on G2.com.","Awin has a strong network of publishers that allows Vivint to access incremental partnerships. Their tracking mechanisms have been reliable, and I've been impressed with their account management. Review collected by and hosted on G2.com.",
Jamal H.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-18,4.5,"""Simple and easy to use and setup""",Firstly the initial onboarding is flawless. Once you’ve onboarded the publisher recommendations kick in which really help you to learn the types of publishers that work best for your product. Finally the cost of acquiring customers becomes extremely affordable giving you a great Road Review collected by and hosted on G2.com.,Firstly the initial onboarding is flawless. Once you’ve onboarded the publisher recommendations kick in which really help you to learn the types of publishers that work best for your product. Finally the cost of acquiring customers becomes extremely affordable giving you a great Road Review collected by and hosted on G2.com.,
Ben C.,,Small Business (50 or fewer emp.),No,No,Organic,2023-07-12,4.5,"""Awin is the easiest affiliate platform to use""","The level of activity within the platform is unparallelled within the UK, with most key publishers using this network as their first/main port of call. The interface itself is the easiest to use and seems to be the most intuitive of all the affiliate platforms I've worked with. Review collected by and hosted on G2.com.","The level of activity within the platform is unparallelled within the UK, with most key publishers using this network as their first/main port of call. The interface itself is the easiest to use and seems to be the most intuitive of all the affiliate platforms I've worked with. Review collected by and hosted on G2.com.",
Verified User in Retail,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-11-09,4.5,"""Great platform for an affiliate""",We started to use Awin last year and as a company this was the first affiliate experience for us.,We started to use Awin last year and as a company this was the first affiliate experience for us.,
Tania V.,,Small Business (50 or fewer emp.),No,No,Organic,2023-10-25,5.0,"""easy to use""",good variety of publishers  and good customer support Review collected by and hosted on G2.com.,good variety of publishers  and good customer support Review collected by and hosted on G2.com.,
Hafeez N.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-19,5.0,"""The best solution for affiliate marketing""",The support is tremendous and the system is designed to help new people easily navigate the user iterface. Added to that the community is absolutely awesome. They make life easy. Review collected by and hosted on G2.com.,The support is tremendous and the system is designed to help new people easily navigate the user iterface. Added to that the community is absolutely awesome. They make life easy. Review collected by and hosted on G2.com.,
Verified User in Financial Services,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-07-18,4.0,"""Great service for cheaper price""",Awin is cheaper than all the competitors. Most people do know about it as they sponsor a lot of events. Their integration documents are decent and does a good job guiding the efforts for devs. Review collected by and hosted on G2.com.,Awin is cheaper than all the competitors. Most people do know about it as they sponsor a lot of events. Their integration documents are decent and does a good job guiding the efforts for devs. Review collected by and hosted on G2.com.,
⭐ Ingrid F.,Digital Marketing-Manager,Small Business (50 or fewer emp.),No,No,G2 invite,2023-04-20,5.0,"""Brands reach out to me to be their affiliate!""","A time ago, I've decided to create an Awin account to share affiliate links, because the most important fashion brands work with this software. I'm from Spain, and I am happily surprised that every month one international brand reaches out to me to work with them. I'd never imagined that this is possible! I'm so happy! Review collected by and hosted on G2.com.","A time ago, I've decided to create an Awin account to share affiliate links, because the most important fashion brands work with this software. I'm from Spain, and I am happily surprised that every month one international brand reaches out to me to work with them. I'd never imagined that this is possible! I'm so happy! Review collected by and hosted on G2.com.",
Sarah C.,Senior Project Manager Digital Marketing,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-18,4.0,"""Easy to use""","I like how clean the portal is, very intuitive. So easy to onboard, upload company info and start inviting affiliates. Review collected by and hosted on G2.com.","I like how clean the portal is, very intuitive. So easy to onboard, upload company info and start inviting affiliates. Review collected by and hosted on G2.com.",
Verified User in Consumer Goods,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-11-13,3.5,"""It works well once you understand how to use it""",The volume of publishers and the commission management / payout Review collected by and hosted on G2.com.,The volume of publishers and the commission management / payout Review collected by and hosted on G2.com.,
Valeria G.,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2023-11-09,3.5,"""Not same level of service globally""","Wide range of partner, trusty figures, easy approach, readable figures Review collected by and hosted on G2.com.","Wide range of partner, trusty figures, easy approach, readable figures Review collected by and hosted on G2.com.",
Phil N.,,Small Business (50 or fewer emp.),No,No,Organic,2023-07-12,5.0,"""As an affiliate marketing Agency, we use many Networks for our clients and Awin is light years ahead""",Usability - simple dashboard - excellent KPIs reporting and first-class customer service Review collected by and hosted on G2.com.,Usability - simple dashboard - excellent KPIs reporting and first-class customer service Review collected by and hosted on G2.com.,
Anu S.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-19,3.5,"""It was good once the integration is done""",1-Once the integration was live. Then adding or editing events was easier.,1-Once the integration was live. Then adding or editing events was easier.,
Jamisyn S.,,Small Business (50 or fewer emp.),No,No,Organic,2023-07-12,3.5,"""Great Product, but i do have feedback""","I love that it tracks all sales and commission for affiliates, and takes care of their taxes! Review collected by and hosted on G2.com.","I love that it tracks all sales and commission for affiliates, and takes care of their taxes! Review collected by and hosted on G2.com.",
Chris A.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-18,5.0,"""Helping us grow""","Reasonable fees, excellent user interface, support quick to get us setup. Review collected by and hosted on G2.com.","Reasonable fees, excellent user interface, support quick to get us setup. Review collected by and hosted on G2.com.",
Colin B.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-07-18,0.0,"""Terrible UI and Terrible Customer Service""",It's the main industry standard for affiliates and is used by lots of publishers. Review collected by and hosted on G2.com.,It's the main industry standard for affiliates and is used by lots of publishers. Review collected by and hosted on G2.com.,
Vidina  H.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-07-21,3.5,"""My experience with AWIN""",It's easy to use,It's easy to use,
Josh M.,Social Media Executive,Small Business (50 or fewer emp.),No,No,G2 invite,2023-04-18,4.0,"""A great platform for affiliate marketing""",- Great support team,- Great support team,
Verified User in Apparel & Fashion,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-11-14,4.0,"""Alround solid network""","The interface & how easy the functionality is to find performance reports, commissions, feeds etc Review collected by and hosted on G2.com.","The interface & how easy the functionality is to find performance reports, commissions, feeds etc Review collected by and hosted on G2.com.",
Andy D.,Affiliate Group Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-12-07,4.0,"""Leaders In The Field""","Reliable dashboard and easy to use features. I find the Awin dashboard extremely easy to use compared to other networks for reporting especially however validations, newsletters & contacting new publishers also very easy. Review collected by and hosted on G2.com.","Reliable dashboard and easy to use features. I find the Awin dashboard extremely easy to use compared to other networks for reporting especially however validations, newsletters & contacting new publishers also very easy. Review collected by and hosted on G2.com.",
