username,how_many_reviews,location,date,rating,rating_title,rating_description,date_of_experience
Celeste C.,1,US,"Aug 21, 2024",Rated 5 out of 5 stars,Fernando was super helpful!!!!,Fernando was super helpful!!!!He explained everything he was doing for me.,"August 21, 2024"
Sandra Dee,1,US,5 days ago,Rated 5 out of 5 stars,Marlene was very nice,"Marlene was very nice, understanding and completed my issues/requests.","August 29, 2024"
JOHN LAFAVER SR,1,US,"Aug 22, 2024",Rated 5 out of 5 stars,THE PERSON GOT STRAIGHT TO THE QUESTION…,THE PERSON GOT STRAIGHT TO THE QUESTION AND RESOLVED MY QUESTION,"August 22, 2024"
Terry Miller,2,US,"Aug 27, 2024",Rated 5 out of 5 stars,Quick polite answer from Emanuel,Quick polite answer from Emanuel,"August 27, 2024"
Gayle Winter,3,US,4 days ago,Rated 5 out of 5 stars,Emanual was courteous,"Emanual was courteous, understanding and processed my request quickly","August 30, 2024"
Larry  Muncy,4,US,3 days ago,Rated 5 out of 5 stars,Francisca was very helpful and…,Francisca was very helpful and understanding of my situation,"August 31, 2024"
Paul Raymond,3,GB,"Aug 6, 2024",Rated 5 out of 5 stars,Responded to quickly…,Responded to quickly and clearly which is exactly what I required. Emmanuel was knowledgeable and helpful,"August 06, 2024"
Customer,5,GB,"Aug 16, 2024",Rated 5 out of 5 stars,I did not know what to do and you were…,I did not know what to do and you were very helpfull l Am 89 years old love to you all Peter,"August 16, 2024"
Patty H,1,US,"May 17, 2024",Rated 5 out of 5 stars,Chatting for a Refund - Positive Experience!,"I initiated a chat call with ClickBank's Customer Support to get a refund for products not received. The person I chatted with was Elias, who was very helpful and processed the refund immediately. What I thought would be a difficult task was made easy with Elias' help. Thank you!","May 17, 2024"
Liz Willyoung,1,US,"Aug 13, 2024",Rated 5 out of 5 stars,I had to change an order.,I had a change to an order and it was processed immediately by a knowledgeable representative Chantal. Thank you!,"August 13, 2024"
Lisa Davey,1,US,"Aug 16, 2024",Rated 5 out of 5 stars,Quick and Courteous service,Francisca was wonderful and helped very quickly and was very pleasant,"August 16, 2024"
Kathleen takahashi,1,JP,2 hours ago,Rated 4 out of 5 stars,Karen was quick…I appreciate it,,"September 04, 2024"
Jerome,2,US,"Aug 16, 2024",Rated 3 out of 5 stars,Refund ticket Noel Jerome update request (2 invoices),"I had to enter my invoices info twice. The first time I did not go fast enough and the chat ended.The 2nd time I learned that only one invoice out of the two was refundable. The 60-day limit for the first one had expired. Everything went very fast.Chat agent was Francisca, thanks.","August 16, 2024"
Lito,1,PH,"Jun 6, 2024",Rated 5 out of 5 stars,I know about clickbank,"I know about clickbank, their secret, I ask the support team to allow me to signup and login again, I will make sure that my daily sales in clickbank are filled every day. For now I will vote here five stars for clickbank.","June 06, 2024"
Steven Grant Reid,3,US,"May 28, 2024",Rated 5 out of 5 stars,I didn’t realize I had signed up for a…,I didn’t realize I had signed up for a subscription so I canceled it and when I checked on it to make sure it was in deed canceled.. Carlos was very polite and professional and told me that yes indeed it was canceled.,"May 28, 2024"
Mrs P. Holden,6,GB,"Apr 28, 2024",Rated 5 out of 5 stars,Christine at Click Bank,"Christine, who chatted on line with me.  She asked why I wanted to cancel my Orders.  When I told her that while looking on the Internet for product reviews, I was appalled to see what had been said about them, basically it was called a SCAM!  Christine then on  to cancel the orders which was a huge relief to me.","April 28, 2024"
Customer,1,US,"Aug 7, 2024",Rated 5 out of 5 stars,REFUND INFORMATION,Francisca knew what I needed and helped me start the process for a refund.,"August 07, 2024"
Michael J. C. Inch,1,US,"May 2, 2024",Rated 5 out of 5 stars,Katherine was a great help,Katherine was a great help. She made my experience with the process a positive situation and I am grateful for her assistance in this matter.  Keep up the good work Katherine! Thanks again.,"May 02, 2024"
Catherine Beares,7,US,"Apr 10, 2024",Rated 5 out of 5 stars,Anna,Anna did a very fine and efficient job in helping me return the unused merchandise back for a refund. She was extremely quick and knowledgeable ... I would definitely like to deal with her again ...,"April 09, 2024"
Allan Karnas,2,US,"Aug 20, 2024",Rated 5 out of 5 stars,Fernando's excellent help,Fernando was very helpful and solved the problem quickly,"August 19, 2024"
JM,1,CA,"Jul 19, 2024",Rated 1 out of 5 stars,Worst customer service EVER,"Worst customer service EVER! not helpful at all, even when I explained the financial hardship their games were causing...not to mention the other damages to our lives...","July 19, 2024"
Nancy,3,US,"May 20, 2024",Rated 5 out of 5 stars,Lourdes,"Lourdes, who helped me was very understanding and patient with my responses. It was easy to resolve the issue. I could have done the cancelation after talking to my doctor but I guess I was nervous.  Lourdes did a good job.","May 20, 2024"
Sandra La Marte Pickard,2,US,"Aug 3, 2024",Rated 5 out of 5 stars,Regina took care of my issue so fast it…,Regina took care of my issue so fast it was awesome thanks again.,"August 02, 2024"
Tim White,1,US,"Aug 2, 2024",Rated 5 out of 5 stars,Regina was far more helpful than I had…,Regina was far more helpful than I had expected. Great Customer Service.,"August 02, 2024"
Shenzong,1,GB,"Jul 24, 2024",Rated 1 out of 5 stars,The video at the beginning is so…,The video at the beginning is so annoying. The guy keeps talking about 3 simple steps for 15 minutes and and keeps talking garbage. From a big company you have a stupid video like that. The first thing we see. Unprofessional. Who thought that video was good?,"July 24, 2024"
Rick,1,US,"Aug 13, 2024",Rated 5 out of 5 stars,Appreciate the great support!,Karen was easy to engage and provided quick resolution!,"August 13, 2024"
Jeff Albrecht,2,US,"Jun 24, 2024",Rated 1 out of 5 stars,Horrible Affiliate Support!,"I have contacted affiliate support about 6 times to resolve a problem with my hoplink and selling as an affiliate.  You have to wait 48 hours if you are lucky and they respond back with an email telling me why what I am trying to do does not work, instead of fixing the problem or telling you what to do.  Horrible service, I am finally giving up on Clickbank and looking into digistore24 and other affiliate programs.  Don't waste your time as an affiliate with a company that doesh't give a crap about their sales force!!!","June 24, 2024"
Doug Payne,1,US,"Apr 28, 2024",Rated 5 out of 5 stars,Subscription issues resolved,"I had an issue with a subscription. While it took me a while to figure out how to cancel, Rosanna took care of me without incident. She was polite and helpful.","April 27, 2024"
Jane Ward,9,US,"May 24, 2024",Rated 5 out of 5 stars,No worries...ClickBank is good.,"ClickBank has consistently been professional and reliable.  It's not a popular name, so it's natural to be hesitant with an unknown.  No need to be with this company.","May 24, 2024"
Marlene Zerbe,1,US,"May 24, 2024",Rated 5 out of 5 stars,Quick & effective assistance,Quick & effective assistance canceling a subscription I wasn't aware was a subscription & still leaving me a little time for lunchThank you,"May 24, 2024"
Ricky Montgomery,1,US,"Apr 16, 2024",Rated 5 out of 5 stars,Ms. Jenny,Ms. Jenny was very helpful in getting my replacement order of 1 bottle of Sugardefender placed after receiving a crushed bottle from the USPS.,"April 15, 2024"
phil,2,US,"Aug 10, 2024",Rated 5 out of 5 stars,it was quick and easy,it was quick and easy. Online chat was very fast and handled my problem instantly,"August 10, 2024"
Rolando Garcia,1,PH,"Jun 11, 2024",Rated 5 out of 5 stars,YOUR AGENT LOURDES IS VERY HELPFULL AND…,YOUR AGENT LOURDES IS VERY HELPFULL AND UNDERSTANDING. AND SHE SOLVE MY PROBLEM THE QUICKEST WAY POSSIBLE,"June 11, 2024"
Lorraine Villar,2,US,"May 21, 2024",Rated 5 out of 5 stars,Using the chat I was able to speak with someone in matters of a minute. The person was able to understand what I needed and able to correct it immediately.,I needed my subscription to be canceled and I was not told to keep it or reduce the cost. The person was sorry to hear I needed to cancel and moved forward to cancel.,"May 21, 2024"
John,2,US,"Jun 3, 2024",Rated 4 out of 5 stars,Elias,"Elias, the customer service rep, was able to help me by providing the correct shipping address to the seller. My previous chat with ""Carlos"" did not even attempt to do that, and Carlos cancelled my chat without even telling me. Note that I would have given a 5-star rating, but there is no way of telling if Elias actually did what he said he did.","June 03, 2024"
Nair Orioli,2,US,"Jun 27, 2024",Rated 1 out of 5 stars,I bought the JAVA fir weight liss,"I bought the JAVA additive to add to your coffee to help loose weight.First they gave me a price, then added the shipping charges and from a $69.00 it became $85.00The pkg weights less than 3 ouncesThe promises to delivery were sent every day but only after the 5th day I received.   Clickbank is a PREDATOR BANK.  They have several vendors, IT’s A MASS!!When I called them they didn’t remember or “lied” that it wasn’t their vendor, then finally admitted.  I am out if $85.00I am returning without opening the pkge.Vendor on the pkg isAdonis Lifestyles21150 Troley Industrial RdTaylor, MI. 48180","June 26, 2024"
susan conger,1,US,"Jun 4, 2024",Rated 5 out of 5 stars,CARLOS provided great customer support,"I am deaf & TBI disabled, so the Chat feature is greatly appreciated.  CARLOS, was very patient , kind, efficient and knowledgeable.","June 03, 2024"
GERARD LANTHIER,2,US,"May 24, 2024",Rated 5 out of 5 stars,Where is my order?,"I wanted to know where my order was for tea burn, #213.84 ordered 04/27/2024.  Today is 5/24/ 2024. (30 days and no email) when I emailed, the website they gave me, wanted my card number and pay one dollar to find my order. I gave the info and found out they took out 37 dollars twice a total of #64.00 I got my money back. I went to another site today and chatted with Victor who quickly found my order and said it hasn't been shipped yet and that I would get a refund in 5 to 10 days. thank you, Victor,","May 24, 2024"
Ruby Dinauto,1,NZ,"Aug 19, 2024",Rated 5 out of 5 stars,you were very helpful and prompt to…,you were very helpful and prompt to action. thank you so much.,"August 20, 2024"
Sonya Dorris,2,US,"Aug 15, 2024",Rated 5 out of 5 stars,Great Customer Support,Very helpful and took care of my issue quickly.,"August 15, 2024"
Jessica Jillian,1,CA,"Jun 28, 2024",Rated 5 out of 5 stars,Carlos was very helpful with my…,"Carlos was very helpful with my request, and was understanding of my situation. He was quick, and very professional.","June 28, 2024"
ScottandPatti Peterson,1,US,"Aug 10, 2024",Rated 5 out of 5 stars,Karime was very helpful and polite,Karime was very patient with me and answered all my questions.,"August 08, 2024"
neil  wilson,5,US,"Aug 27, 2024",Rated 5 out of 5 stars,That was quick and thorough.,,"August 27, 2024"
Rebecca,1,US,"Updated Jun 26, 2024",Rated 3 out of 5 stars,Disabled from Account,After gaining access to the account and filling out the profile for some reason the account is disabled! This happened more than once! Changed even the email! I did get touch with customer service they told me to try the email again! Final got access then it happens again! You can lose a lot of valuable people that can be and asset to your company!,"June 23, 2024"
Alicia,1,US,"Jul 5, 2024",Rated 4 out of 5 stars,Why I gave a 4,"Well, I'm going to mark this as a 4 cause it was a struggle to get logged in everything else about ClickBank is the most appealing to me and its security is what I mostly love.","July 04, 2024"
Serhii KI,1,ES,"Apr 18, 2024",Rated 1 out of 5 stars,I decided to register on ClickBank,"I decided to register on ClickBank. It's terrible! After registration, within 10 minutes, my account was blocked. Without any reason. Okay, I wrote to support, they told me to go through verification. I sent documents, took a selfie, and then they told me to confirm my place of residence, which I can't do because I've been living in rented apartments for 3 months, which I rent through Booking. Then they tell me they can't verify my information. It's awful, it's just awful, so if I don't have my own place to live, then I'm not a human being?! I sent them documents, took a selfie, but I'm still not a human being?! This is some kind of discrimination! Terrible company! Shame on you!","April 18, 2024"
Cynthia Ann Holeman,2,US,"May 30, 2024",Rated 5 out of 5 stars,Diana R,Diana R. was very helpful.  I am depending on her to send an email to the vendor and ask them for a valid website.  I believe she will do as she said she would.  It's the vendor that I doubt will respond.,"May 29, 2024"
Agnes Jakab,2,US,"Jun 17, 2024",Rated 5 out of 5 stars,I made a mistake on my birthdate,"I made a mistake on my birthdate.  It should be July 19, 1958.I received a response promptly.","June 17, 2024"
Laura,6,US,"Aug 7, 2024",Rated 5 out of 5 stars,Customer service GREAT CUSTOMER SERVICE handled my request so…,Customer service handled my request so quickly!,"August 07, 2024"
Kate,1,US,"May 21, 2024",Rated 5 out of 5 stars,Problem solved!,Anna was very helpful and answered all my questions quickly and professionally. She resolved my problem to my satisfaction.,"May 20, 2024"
Clara Chambles,1,GB,"Jun 3, 2024",Rated 1 out of 5 stars,Unable to complete my profile,"Unable to complete my profile.  When adding my SSN, an invalid showed up, which would never allow me to get past this.  I have tried numerous times with no ability to get it resolved.  My VPN is in UK, but I'm in TN.","June 02, 2024"
Joann Brewster,2,US,"Aug 6, 2024",Rated 5 out of 5 stars,I feel my instructions to NOT SAVE my…,I feel my instructions to NOT SAVE my Visa card will be done,"August 06, 2024"
Kathy Fisher,10,US,"May 24, 2024",Rated 5 out of 5 stars,Quick and Easy service…,Carlos was quick and very easy to deal with online.  I appreciate his attention in this matter.,"May 24, 2024"
R C,1,US,"May 30, 2024",Rated 2 out of 5 stars,DISSATISFIED CUSTOMER,I was not satisfied with the service because they didn't listen to what I was trying to say. I told them I sent an email to the email address they gave me and it came back UNDELIVERABLE!!! I want this matter taken care of I want my refund. I am refusing the product and returning it to the vendor. Who is going to refund my money it is $200!!!!!,"May 30, 2024"
Sandra VanSickle,1,US,"Jul 19, 2024",Rated 1 out of 5 stars,Need my refund of 37.00 dollars,"Need my refund of 37.00 dollars.  It has been a month, no response!  When can I expect my refund?  Sandra VanSickle, 2750 South Ash Court Apt.210,  Broken Arrow, OK 74012.  Thank you","June 13, 2024"
Lordkrowers,1,PL,"Aug 17, 2024",Rated 1 out of 5 stars,i cant post links anywhere because on…,"i cant post links anywhere because on every site it says ""its spam""","August 17, 2024"
Bryan,1,US,"May 14, 2024",Rated 5 out of 5 stars,Customer service,"The customer service agent Elias was rally easy to communicate with. Plus, they really understood my needs","May 14, 2024"
Alessandra Carrillo,1,US,"May 2, 2024",Rated 5 out of 5 stars,Katherinne the kind and expedient customer service rep,"The customer service representative, Katherinne, was extremely empathetic and kind in regards to my situation. She was extremely helpful and efficient with correcting my issue and providing any additional information that I requested. I would give her 10 out of 5 stars if that was possible. Thank you all!","May 02, 2024"
Ankita Shaw,1,IN,"May 24, 2024",Rated 1 out of 5 stars,PLEASE ANSWER MY QUESTION!,"first of all i am sorry i gave 1 star, as you will notice right away. I had a question which was., does ClickBank take money for registeration and does it any type of fees? I heard in a youtube video taht it was completely free but people are saying something else.Please Reply and answer to my question ClickBank Please.","May 24, 2024"
Jeff Johnson,1,US,4 days ago,Rated 5 out of 5 stars,Tech was effective and professional,Texh was effective and professional,"August 30, 2024"
Brian Minshull,1,CA,"Aug 6, 2024",Rated 5 out of 5 stars,It was quick and professional,"It was quick and professional, also complete","August 05, 2024"
happyone,2,GB,"May 16, 2024",Rated 5 out of 5 stars,clickbank gave a quick and satidfactory responce. 5 stars,the whole process of getting a refund took about 5 mins. Excellent service. thank you,"May 16, 2024"
Steve,22,GB,"Jun 8, 2024",Rated 4 out of 5 stars,still paying in paper cheques,"Not a bad company. Pay out earnings and not a problem that way.  But this tech company still sends out cheques! Like, I mean, c'mon, its 2024 and you are still sending paper cheques to affiliates! lolPeople then have to go and post the cheque via snail mail to their local bank. It's like something from 2003! They really need to move into the digital payment age.  Its  funny and sad at the same time","June 08, 2024"
AJ,2,JP,"Apr 13, 2024",Rated 1 out of 5 stars,"Account was suspended right after registered, and ask to verify identity through a suspect 3rd-party website","My account was suspended immediately, right after I registered. I asked for support and was told to validate my information through a 3rd-party IDV company, veriff.com, which has a 2.0 rating on Trustpilot. I will not give my personal information, ID pictures, etc., to a company I've never heard of, and with this low score. We are eager to utilize ClickBank’s platform for our business and are committed to complying with all terms and policies. We are willing to provide additional information like my business registration form, etc, but somehow, the Risk Operations team of ClickBank insisted on validating through veriff.com, which is kinda of disappointing.","March 22, 2024"
Marcia Huepenbecker,2,US,"Apr 19, 2024",Rated 5 out of 5 stars,Your customer service is very helpful and efficient.,Your employee is very helpful and efficient. She ask what my issue was and fixed It.,"April 18, 2024"
Rohan Bhalerao,1,IN,"Aug 3, 2024",Rated 1 out of 5 stars,am not even able to signup in there…,am not even able to signup in there website.Here what it says -  What fraud and risk standards are they talking about. Am just trying to sign up.,"August 03, 2024"
Yuri,1,US,"Aug 14, 2024",Rated 5 out of 5 stars,Chat rep very helpful and understanding,Chat rep very helpful and understanding,"August 14, 2024"
Connie,2,US,"May 28, 2024",Rated 5 out of 5 stars,Your agent was patient with me,"Your agent was patient with me, as I have tremors making difficult to type","May 28, 2024"
Amy,2,US,"Apr 11, 2024",Rated 5 out of 5 stars,Quick response-very helpful,"The agent (Rolly) was efficient, friendly and helpful. He helped me resolve my issue immediately.","April 09, 2024"
Tammy Pace,1,US,"May 3, 2024",Rated 5 out of 5 stars,Chris's was very helpful in getting me…,Chris's was very helpful in getting me information on my order. Quick and polite.,"May 02, 2024"
PErson,5,GB,"Aug 9, 2024",Rated 1 out of 5 stars,Having a nightmare,"I have used Clickbank both as an affiliate and a product vendor since 2009. I've been very successful with the platform and what you might call an 'influencer' with millions of social media followers.Clickbank used to be good, back in the day. Really good.  One of the best.  Never a problem, always paid on time, everything worked, always.    But as with all things, they now seem to be on the race to the bottom in terms of quality of service.I am taking to trustpilot in sheer exasperation at the awful non-support I am receiving and not knowing any other way to get the attention of someone who can actually sort out my BROKEN ACCOUNTS.So the platform is railroading people into linking accounts under a 'master account'. This is non optional.  I don't want it, don't need it and I don't have time to figure it out. As with all these things, most people really do want it left the way it is. We dont have time to figure out where you moved everything to.You can no longer access your dashboard unless you do this migration, because they have created a roadblock popup that 100% cannot be closed.However the account linking process is broken and comes up with either a fail error message or an email confirmation message every time.  None of the accounts will link and the ""we've sent an email for confirmation"" - nope, no emails received and yes I have checked all spam folders etc.  Everything is broken.This is a nightmare. I have products (that are my livelihood) that are currently broken, I cannot access the dashboard or edit the product listings - nothing. Completely frozen in a block of ice.ALSO if I have to change my affiliate links to new aff IDs, as the agent has suggested.... I run over 50 websites and have encrypted links going back 15 years across tens of thousands of pages.  If I link the accounts are all those links going to break? Fixing them all is WEEKS of work. You have forced me into this nightmare.After multiple messages to support I am losing my mind.  Responses move at glacial pace - taking a day or two - and then are a ""goon"" response. Obviously a copy paste from someone with poor English and even more limited ability to actually read a question correctly and answer the actual question.   So far, none of my issues have been addressed, at all.Clearly they outsourced support to the lowest bidder. Bear in mind also that I am someone who has made Clickbank a LOT of money.  This is the part that blows my mind.  You would think that after making them 6 figures worth of money, they would take an interest in seeing to it that I could make them MORE money by ensuring that my account is functional. But no.  They literally want me to go work with their competitor instead.  Maybe I should tell my millions of social media followers to avoid Clickbank also.What does one have to do to get actual service these days? Even when it is absolutely in their best interests to give that service.  I can barely think of an instance of a company shooting themselves in the foot harder than this...","August 09, 2024"
Sharon Elaine Wallace,3,US,"May 13, 2024",Rated 4 out of 5 stars,Elias was helpful in me receiving a…,"Elias was helpful in me receiving a credit card reimbursement. If I receive my money back in the time promised, I will change his star rating to 5 stars.","May 13, 2024"
Pam Hill,2,US,"May 24, 2024",Rated 3 out of 5 stars,It’s frustrating,"It’s frustrating!  Your site, your chat and time to respond to instructions!  Finished what I wanted, but honestly, why is everything so frustrating?","May 23, 2024"
DR C F Brunetti,1,US,"May 16, 2024",Rated 3 out of 5 stars,Like and Dislike,What I disliked was that there was no way to retract my order on the website. What I liked was Kathleen’s empathy and acknowledgment that Ishould not be charged $93.09 for extra bottles.,"May 16, 2024"
Theckla Sterrett,3,US,"Apr 6, 2024",Rated 5 out of 5 stars,Christine was wonderful and helpful,Christine was wonderful and helpful. She fixed my problem quickly and was very thoughtful and so nice.,"April 05, 2024"
Peggy,2,US,"Aug 7, 2024",Rated 5 out of 5 stars,Regina was very helpful.,Regina was very helpful.,"August 07, 2024"
Tifani Williamson,1,US,"Aug 17, 2024",Rated 5 out of 5 stars,Fast service,,"August 17, 2024"
