username,title,business_type,business_size,validated_user,verified_current_user,review_source,incentivized_review,date,rating,review_title,like_best,dislike,benefits
David A.,International Marketing Director,Small-Business,(50 or fewer emp.),Yes,No,Organic,No,3/23/23,0.5,Commission Junction stole our deposit and never give it back (6500$),"If you want to develop your business via affiliation, make your own affiliation program and develop it yourself by contacting directly the sites that are in your niche. Entrusting this task to Commission Junction and Advertising Purple is simply a huge waste of time and money.","This whole sad story started with Advertising Purple contacting us with the promise of growing our online business through affiliate marketing with Commission Junction.  Advertising Purple claims to be the company with the largest number of affiliates in the U.S... something no one can verify and after this unfortunate experience is most likely false.  The cost of working with Advertising Purple + Commission Junction is very high between fixed and recurring fees. You have to pay between $5000 and $10,000 just to cover the future commissions of your future affiliates.  Here's how it really works:  Advertising Purple assigns you an account manager who only publishes your site on bogus coupon code and discount sites. The result is that even your customers who don't normally use coupon codes end up on these sites and ultimately make you lose money because without these sites, they would have bought at the price without a discount. In addition to not making you any money, you have to pay them a commission of course. All they do is bid on your brand name!  These coupon sites do not acquire new customers for you (or very few) but allow people who already know your brand to get discounts...so really NO interests at all.  Advertising Purple and Commission Junction promise you to be affiliated with quality sites (audience, traffic etc.) but in reality they are not. Their network literally stops at very poor quality sites with no interests. As for the account manager, let's call it ""trainee"" with 6 months experience, the word is more appropriate.  We have decided to close our account with both Advertising Purple and Commission Junction. We have been waiting for the return of our deposit at Commission Junction for almost a year now, which is about $6500! Commission Junction is literally stealing from its clients by confiscating the deposit that was given to them at the beginning of the contract. What a shame!  We have contacted our law firm to try to get this money back and our case is ongoing...  If you want to develop your business via affiliation, make your own affiliation program and develop it yourself by contacting directly the sites that are in your niche. Entrusting this task to Commission Junction and Advertising Purple is simply a huge waste of time and money.",They solved nothing
k e.,Notary Public,Small-Business,(50 or fewer emp.),Yes,Yes,Organic,No,5/12/22,5,Cj the affilate,Its long relationship standing at 5 of college-level calendar years,long-standing relationship learning no not flash carded,with the longstanding standing continues as said CJ affiliates is at college-level learning
Verified User in Publishing,Small-Business(50 or fewer emp.),,,Yes,No,G2 invite,Yes,1/12/22,5,Excellent affiliate resource,"The interface is easy to use, I receive notifications about new opportunities, and payment is prompt.","I'd like to be notified via email when an affiliate application is approved. (If that process is happening, those messages aren't reaching me.)",CJ helps me earn money from products and services I'm already using and like.
Verified User in Consumer Electronics,Mid-Market(51-1000 emp.),,,Yes,No,G2 invite,Yes,1/12/22,4,Simple straightforward onboarding and integration with commerce cloud,As the title says overall onboarding experience was straightforward and simple with detailed documentation available for the Business and technology team.,There were a few hiccups during the integration process due to our company's architecture and security protocols. It took longer than expected to get the right technical help to get these resolved.,Drive more traffic to our website
Verified User in Consumer Goods,Mid-Market(51-1000 emp.),,,Yes,Yes,G2 invite,Yes,10/9/21,4,Intuitive Affiliate Platform,CJ offers an intuitive website that allows affiliate publishers to locate new and existing merchant partners quickly and identify essential details like commissions and contracts within a few taps.,"The CJ website offers so many features that, at times, loading speeds are slow.","CJ solves the problem of identifying high-quality merchants relevant to our publishing space without the hassle of sifting through irrelevant products and services. Some affiliate platforms focus on quantity; however, CJ focuses on quality."
Ajeet S.,Affiliate Marketing Manager,Small-Business,(50 or fewer emp.),Yes,Yes,G2 invite,Yes,9/30/21,4,Earn Money With CJ Affiliate,"CJ Affiliate network has lots of campaigns available for many regions, including the United Kingdom and SEA regions. The best thing about it is campaigns approval. The approval rate is very good. Even if they decline your application to join they give a proper reason for it which helps in making your website better.",The one that I dislike about CJ Affiliate is that it is a bit to load. Their tracking system is not that great.,CJ Affiliate offers good commissions to its publishers and shares details to connect directly with the advertiser for a particular program's approval which is a good thing for a publisher.
Thomas M.,Credit Controller,Small-Business,(50 or fewer emp.),Yes,Yes,G2 invite,No,9/29/21,5,Happy CJ Affiliate Client,"CJ Affiliate is a worldwide affiliate network that provides me with centralized access to advertisers and systemized commissions. The bulk of the advertising companies engage CJ Affiliate and myself being an Affiliate Market it's easy to interact with them through CJ Affiliate, it has a pool of useful resources and easy access to tracking links, placements andreports.","It has selected countries that it does not serve, but generally it's a great platform","CJ Affiliate updates me on the latest Advertising Companies I may engage in and allows me to leverage their system for results and analysis, leads, and conversion. The reports from CJ Affiliate platform allow me to redirect my campaign to the most responding ads."
Chris M.,Digital Marketing & Ecommerce Manager,Mid-Market,(51-1000 emp.),Yes,No,Seller invite,No,8/23/21,3,"Top Network, but Needs to Be Easier to Use",Once you have a feel for the platform you can expand your business in the affiliate space.,The platform is not userfriendly. When I first started using CJ Affiliate I labored over trying to figure out how to navigate it. It is not an intuitive platform. You have to know what you're doing to get anything done.,We have established and grown our affiliate audience using the CJ Affiliate platform.
Verified User in Design,Small-Business(50 or fewer emp.),,,Yes,Yes,Organic,No,8/19/20,0.5,Legacy Affiliate Program that is basically just coupon sites,"If you are looking for discount or coupon sites to send you affiliate traffic, look here. Otherwise look elsewhere.","High startup fees and ongoing fees, poor customer service, poor technical support, and poor selection of affiliates. Not what it once was.",Affiliate marketing.
Peter V.,Owner,Small-Business,(50 or fewer emp.),Yes,Yes,G2 invite,Yes,3/30/20,4,Good platform for my customers to access products I recommend,It works while I sleep.  Allows me to work remotely to deploy software to customers with a credit card.,Commission payments take a long time to clear,Adds a dimension to my business with very little effort on my part.
Kristian P.,Senior Webmaster,Small-Business,(50 or fewer emp.),Yes,No,G2 invite,Yes,1/31/19,1.5,Isn't what it used to be,"When CJ started out they had a very down to earth feel. Within the first month of beingvan affiliate with them they had sent me a wooden ""money"" train whistle with their logo on it. It was a way to say welcome and helped me feel welcomed to their company. That feeling is long gone. They have since been bought by a different company and you no longer feel any different then joining any other large affiliate program. They do offer a lot of affiliate programs in many categories and they have competetive commissions. I stopped using them after more then 15 years when they started charging me an inactivity fee, I was sending them traffic but my sales dropped off while I was restructuring my website. As mist people know the affiliate marketplace isn't what it used to be and CJ proves that point all so well.","Inactivity fees, no loyalty to websites that have been with the company for many years, they are much the same as all the other affiliate programs they don't stand out anymore.",Earn money promoting other websites and brands through your own website.
Verified User in Consumer Services,Small-Business(50 or fewer emp.),,,Yes,No,G2 invite,Yes,1/11/19,5,Experienced long time user review,I really enjoy the multifaceted dashboard. The layout is robust but not overwhelming.  It's easy to find what you are looking for.,I wish there were analytics and reporting stats on homepage,Solving the problem of connecting me with merchants for promotion opportunities
Verified User in E-Learning,Mid-Market(51-1000 emp.),,,Yes,Yes,G2 invite,Yes,1/11/19,4,Good affiliate manager but poor email tool,I like the ability to easily connect with possible affiliates and the ranking system for them.,"I dislike the email tool that they have. It is very tedious to input links and images, to the system and not into the template. It is not very user-friendly nor pleasant to look at. I would suggest they invest resources in that part of CJ",We are able to quickly connect with good affiliates and get our links up.
